id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1090716,Male,26,1,41.0,1,< 1 Year,No,28759.0,152.0,233,0
6431516,Male,42,1,41.0,1,1-2 Year,No,35046.0,124.0,242,0
1871142,Male,21,1,15.0,1,< 1 Year,No,34379.0,152.0,185,0
8320285,Female,23,1,32.0,1,< 1 Year,No,2630.0,151.0,218,0
7996350,Female,42,1,28.0,0,1-2 Year,Yes,73379.0,124.0,283,0
10589348,Female,27,1,41.0,1,< 1 Year,No,32847.0,152.0,90,0
2090230,Female,39,1,46.0,0,1-2 Year,Yes,43879.0,11.0,241,0
404699,Female,42,1,9.0,1,1-2 Year,No,44152.0,124.0,207,0
7545323,Male,51,1,28.0,1,1-2 Year,No,2630.0,122.0,196,0
1683863,Male,24,1,37.0,0,< 1 Year,Yes,32506.0,152.0,95,0
9354188,Male,45,1,25.0,0,1-2 Year,Yes,26339.0,124.0,281,0
7232609,Female,36,1,33.0,1,1-2 Year,No,30782.0,124.0,105,0
3856982,Female,27,1,47.0,1,< 1 Year,No,38693.0,151.0,197,0
3576920,Female,74,1,50.0,0,1-2 Year,Yes,50467.0,26.0,278,0
2887712,Male,42,1,46.0,0,1-2 Year,No,2630.0,26.0,161,0
8897570,Female,29,1,31.0,1,< 1 Year,No,2630.0,152.0,52,0
4720559,Female,23,1,28.0,1,< 1 Year,No,44844.0,152.0,80,0
1699641,Male,25,1,28.0,1,< 1 Year,No,57232.0,152.0,116,0
9464800,Male,23,1,21.0,1,< 1 Year,No,22708.0,152.0,226,0
10937638,Female,59,1,47.0,1,1-2 Year,Yes,34349.0,124.0,47,0
4490344,Female,38,1,43.0,0,1-2 Year,Yes,2630.0,160.0,293,0
2543163,Female,24,1,9.0,1,< 1 Year,No,38837.0,152.0,201,0
6121702,Male,61,1,18.0,1,1-2 Year,No,38505.0,26.0,285,0
10895153,Male,66,1,28.0,0,1-2 Year,Yes,27190.0,26.0,283,0
5495264,Female,25,1,41.0,1,< 1 Year,No,52438.0,152.0,37,0
5305165,Male,60,1,8.0,1,1-2 Year,No,31907.0,124.0,95,0
5182834,Male,22,1,41.0,1,< 1 Year,No,28863.0,152.0,252,0
1260550,Female,55,1,28.0,0,> 2 Years,Yes,56681.0,26.0,102,0
1910583,Male,46,1,28.0,0,1-2 Year,Yes,38368.0,26.0,261,0
702914,Female,43,1,28.0,0,1-2 Year,Yes,33255.0,26.0,63,0
5313551,Female,26,1,11.0,0,< 1 Year,Yes,38472.0,152.0,243,0
3247743,Female,23,1,40.0,1,< 1 Year,No,30067.0,152.0,299,0
5777016,Male,45,1,16.0,1,1-2 Year,Yes,2630.0,124.0,43,0
6333706,Male,53,1,29.0,0,1-2 Year,Yes,30411.0,31.0,46,0
497571,Male,45,1,6.0,1,1-2 Year,Yes,2630.0,156.0,152,0
1415646,Female,27,1,47.0,1,< 1 Year,No,31375.0,152.0,38,0
4846255,Male,53,1,28.0,1,1-2 Year,No,34395.0,26.0,65,0
5558260,Male,23,1,6.0,1,< 1 Year,No,31454.0,152.0,68,0
9304429,Female,32,1,20.0,0,1-2 Year,Yes,2630.0,156.0,250,0
8542809,Female,33,1,7.0,0,1-2 Year,Yes,2630.0,154.0,104,0
6695211,Male,42,1,41.0,0,1-2 Year,Yes,2630.0,157.0,218,0
6262171,Female,60,1,28.0,0,1-2 Year,Yes,52490.0,124.0,244,0
9929392,Male,43,1,28.0,0,1-2 Year,Yes,48732.0,26.0,57,0
10236091,Male,52,1,28.0,1,1-2 Year,No,39758.0,13.0,219,0
2949923,Female,55,1,26.0,1,1-2 Year,No,23038.0,120.0,244,0
5205688,Male,47,1,29.0,0,1-2 Year,Yes,48731.0,124.0,209,0
6494205,Male,21,1,6.0,1,< 1 Year,No,27192.0,152.0,291,0
7690205,Female,48,1,47.0,1,1-2 Year,No,51682.0,26.0,132,0
11170759,Male,25,1,6.0,1,< 1 Year,No,24006.0,152.0,102,0
604462,Female,23,1,29.0,0,< 1 Year,Yes,43178.0,152.0,210,0
3344213,Female,59,1,28.0,0,1-2 Year,Yes,36456.0,26.0,220,0
2985700,Male,24,1,28.0,0,< 1 Year,Yes,2630.0,152.0,238,0
1923996,Female,26,1,28.0,1,< 1 Year,No,46915.0,152.0,161,0
1267055,Male,29,1,8.0,1,< 1 Year,No,46471.0,152.0,151,0
3784229,Female,51,1,28.0,0,1-2 Year,Yes,50681.0,26.0,83,0
11316008,Female,39,1,11.0,0,1-2 Year,Yes,43707.0,124.0,47,0
10958265,Female,30,1,32.0,1,< 1 Year,No,2630.0,160.0,278,0
347579,Female,44,1,3.0,1,1-2 Year,No,30787.0,26.0,211,0
2429922,Female,50,1,28.0,1,1-2 Year,No,39312.0,26.0,258,0
7240166,Male,51,1,28.0,1,1-2 Year,No,51769.0,26.0,20,0
643655,Male,42,1,28.0,0,1-2 Year,Yes,28561.0,124.0,232,0
9510949,Female,20,1,28.0,1,< 1 Year,No,2630.0,160.0,127,0
6352009,Male,51,1,28.0,1,1-2 Year,No,37100.0,125.0,54,0
2847347,Male,63,1,17.0,1,1-2 Year,No,2630.0,124.0,110,0
6068333,Male,31,1,8.0,1,< 1 Year,No,45438.0,152.0,77,0
3630241,Male,53,1,15.0,0,1-2 Year,Yes,2630.0,26.0,227,0
3852457,Male,22,1,47.0,1,< 1 Year,No,25350.0,152.0,85,0
5225967,Male,39,1,28.0,0,1-2 Year,Yes,28997.0,163.0,17,0
10628455,Male,77,1,28.0,1,1-2 Year,No,50507.0,122.0,97,0
2165300,Male,58,0,41.0,0,1-2 Year,Yes,42180.0,26.0,14,0
9032980,Male,25,1,11.0,1,< 1 Year,No,54558.0,152.0,240,0
11072569,Male,22,1,13.0,0,< 1 Year,No,21646.0,160.0,181,0
8438231,Female,26,1,29.0,0,< 1 Year,No,30027.0,152.0,85,0
5403761,Male,34,1,41.0,0,< 1 Year,Yes,2630.0,152.0,281,0
6902601,Female,55,1,33.0,0,1-2 Year,Yes,2630.0,124.0,156,0
4403849,Female,70,1,28.0,1,1-2 Year,No,38452.0,52.0,212,0
3919526,Male,25,1,18.0,0,< 1 Year,Yes,28793.0,152.0,244,0
4275048,Male,27,1,30.0,1,< 1 Year,No,28363.0,152.0,56,0
6027594,Female,21,1,36.0,1,< 1 Year,Yes,25499.0,160.0,123,0
10881293,Male,26,1,28.0,1,< 1 Year,No,37560.0,152.0,161,0
4578146,Female,25,1,45.0,0,< 1 Year,No,27206.0,152.0,238,0
5851027,Male,39,1,38.0,0,1-2 Year,Yes,31393.0,124.0,81,0
10277423,Female,79,1,28.0,0,1-2 Year,Yes,28400.0,24.0,263,0
717497,Female,69,1,8.0,0,1-2 Year,Yes,42743.0,26.0,58,0
860115,Male,21,1,3.0,1,< 1 Year,Yes,35830.0,160.0,101,0
3803502,Female,22,1,25.0,1,< 1 Year,No,30719.0,152.0,29,0
3481402,Male,53,1,30.0,0,1-2 Year,Yes,47855.0,124.0,63,0
11233746,Male,49,1,28.0,1,1-2 Year,No,40891.0,26.0,178,0
6581863,Male,21,1,46.0,0,< 1 Year,Yes,29693.0,160.0,69,0
11034529,Male,43,1,8.0,0,1-2 Year,Yes,27892.0,124.0,99,0
3409430,Female,26,1,10.0,1,< 1 Year,No,23425.0,152.0,70,0
7009016,Female,25,1,24.0,0,< 1 Year,Yes,34506.0,152.0,211,0
5035982,Male,48,1,28.0,0,1-2 Year,Yes,46479.0,26.0,201,0
6477407,Male,50,1,11.0,1,1-2 Year,Yes,38506.0,26.0,131,0
4639183,Male,51,1,47.0,0,1-2 Year,Yes,30776.0,124.0,135,0
2797461,Male,24,1,6.0,1,< 1 Year,No,27531.0,152.0,212,0
5582939,Male,27,1,37.0,1,< 1 Year,No,2630.0,160.0,130,0
2777243,Male,48,1,36.0,0,1-2 Year,Yes,49169.0,124.0,53,0
920365,Male,41,1,48.0,1,1-2 Year,Yes,2630.0,124.0,114,0
5556514,Male,28,1,11.0,1,< 1 Year,No,48658.0,152.0,254,0
7701563,Female,44,1,11.0,0,1-2 Year,Yes,30219.0,61.0,215,0
3791197,Female,36,1,28.0,0,1-2 Year,Yes,56288.0,26.0,131,0
3607811,Male,61,1,28.0,0,1-2 Year,Yes,45281.0,124.0,126,0
9421290,Female,23,1,16.0,1,< 1 Year,No,28028.0,152.0,281,0
9174654,Male,59,1,28.0,0,1-2 Year,Yes,39788.0,124.0,169,0
9037690,Male,47,1,28.0,0,1-2 Year,Yes,44569.0,124.0,222,0
7228492,Female,30,1,30.0,0,1-2 Year,Yes,2630.0,124.0,11,0
981779,Male,22,1,8.0,1,< 1 Year,No,33570.0,152.0,289,0
1153978,Female,41,1,28.0,0,1-2 Year,Yes,63853.0,26.0,219,0
6743182,Male,50,1,28.0,1,1-2 Year,No,48563.0,124.0,149,0
4111390,Female,39,1,28.0,0,1-2 Year,Yes,50570.0,124.0,194,0
1173548,Male,70,1,19.0,0,1-2 Year,Yes,2630.0,156.0,152,0
192976,Female,36,1,28.0,1,1-2 Year,No,31452.0,124.0,182,0
8543891,Female,50,1,41.0,1,1-2 Year,Yes,2630.0,26.0,180,0
1579345,Male,39,1,28.0,1,1-2 Year,No,28328.0,124.0,262,0
6692516,Male,43,1,30.0,0,1-2 Year,Yes,29073.0,26.0,103,0
10895076,Male,47,1,28.0,0,1-2 Year,Yes,55795.0,124.0,115,0
6091856,Female,22,1,3.0,1,< 1 Year,No,20963.0,152.0,256,0
7948027,Male,24,1,8.0,1,< 1 Year,No,31819.0,152.0,195,0
6339674,Male,28,1,15.0,1,< 1 Year,No,39778.0,152.0,261,0
8954283,Female,22,1,4.0,0,< 1 Year,Yes,2630.0,160.0,83,0
4136055,Male,23,1,6.0,1,< 1 Year,No,28590.0,152.0,106,0
2684108,Male,62,1,41.0,0,1-2 Year,Yes,35321.0,12.0,195,0
3415843,Female,27,1,3.0,0,1-2 Year,Yes,2630.0,156.0,173,0
1802182,Female,46,1,28.0,1,1-2 Year,No,24019.0,4.0,170,0
6994790,Male,36,1,28.0,0,> 2 Years,Yes,45947.0,13.0,133,0
10074478,Female,43,1,33.0,0,1-2 Year,Yes,33178.0,124.0,153,0
66496,Female,25,1,41.0,1,< 1 Year,No,50614.0,152.0,277,0
5437361,Male,47,1,18.0,0,1-2 Year,Yes,25954.0,26.0,142,0
9952625,Female,25,1,41.0,1,< 1 Year,No,31261.0,152.0,112,0
11412102,Male,65,1,1.0,0,> 2 Years,Yes,2630.0,124.0,178,0
8450719,Female,24,1,8.0,1,< 1 Year,No,34361.0,152.0,92,0
6344868,Male,67,1,14.0,0,1-2 Year,Yes,2630.0,30.0,280,0
3562852,Female,25,1,8.0,1,< 1 Year,No,34221.0,152.0,126,0
8833455,Female,79,1,28.0,0,1-2 Year,Yes,62636.0,26.0,220,0
10805725,Male,45,1,28.0,0,1-2 Year,No,38290.0,26.0,198,0
7991004,Male,56,1,13.0,1,1-2 Year,No,28810.0,26.0,131,0
7317051,Female,40,1,18.0,0,1-2 Year,Yes,2630.0,124.0,194,0
3857730,Female,30,1,28.0,0,< 1 Year,Yes,48951.0,124.0,164,0
10167151,Male,43,1,28.0,0,1-2 Year,No,32343.0,124.0,57,0
10167845,Male,26,1,28.0,1,< 1 Year,No,43505.0,152.0,37,0
6063889,Male,32,1,14.0,0,1-2 Year,Yes,2630.0,157.0,284,0
5220798,Female,32,1,41.0,1,< 1 Year,No,27758.0,152.0,260,0
4913399,Male,46,1,28.0,1,1-2 Year,No,27784.0,60.0,245,0
3359736,Female,27,1,8.0,1,< 1 Year,No,25301.0,152.0,74,0
7699564,Female,59,1,39.0,1,1-2 Year,No,26937.0,26.0,126,0
3152859,Male,23,1,15.0,1,< 1 Year,No,31464.0,152.0,98,0
10631247,Female,59,1,50.0,0,1-2 Year,Yes,28554.0,8.0,257,0
11041613,Female,21,1,28.0,0,< 1 Year,No,43861.0,152.0,209,0
3693148,Male,40,1,28.0,0,1-2 Year,Yes,46470.0,26.0,63,0
3174734,Female,64,1,12.0,1,1-2 Year,No,2630.0,20.0,46,0
8079982,Male,48,1,23.0,1,1-2 Year,No,38192.0,124.0,259,0
7684496,Female,35,1,28.0,0,1-2 Year,Yes,48739.0,152.0,234,0
11390284,Male,78,1,28.0,1,1-2 Year,No,32583.0,124.0,110,0
7669059,Female,72,1,28.0,0,1-2 Year,Yes,45613.0,124.0,129,0
1446194,Female,23,1,46.0,1,< 1 Year,No,29583.0,152.0,242,0
10447835,Male,40,1,33.0,0,1-2 Year,No,29467.0,154.0,281,0
670378,Male,48,1,41.0,0,1-2 Year,Yes,32261.0,26.0,165,0
3198743,Male,63,1,39.0,0,1-2 Year,Yes,2630.0,163.0,159,0
4677439,Female,59,1,2.0,1,1-2 Year,No,29428.0,26.0,297,0
613143,Female,23,1,28.0,0,< 1 Year,Yes,47122.0,124.0,293,0
3420011,Female,56,1,28.0,0,> 2 Years,Yes,40797.0,26.0,256,0
5409157,Female,49,1,28.0,0,1-2 Year,Yes,44798.0,26.0,215,0
4714843,Female,31,1,19.0,1,< 1 Year,No,32449.0,152.0,157,0
6139739,Male,22,1,6.0,1,< 1 Year,No,2630.0,160.0,229,0
634627,Male,40,1,27.0,0,1-2 Year,Yes,23119.0,26.0,228,0
10339350,Female,56,1,28.0,0,1-2 Year,Yes,59801.0,29.0,110,0
9760099,Male,31,1,28.0,1,1-2 Year,No,28116.0,156.0,130,0
4082557,Male,37,1,28.0,0,1-2 Year,Yes,35155.0,156.0,240,0
7277422,Female,59,1,8.0,0,1-2 Year,Yes,46007.0,26.0,298,0
4471855,Male,25,1,11.0,1,< 1 Year,No,27661.0,152.0,104,0
2834496,Male,48,1,28.0,0,1-2 Year,Yes,49813.0,26.0,41,0
7236072,Female,55,1,41.0,0,> 2 Years,Yes,42920.0,154.0,236,0
7603001,Female,24,1,8.0,0,< 1 Year,Yes,38991.0,152.0,118,0
8095948,Male,23,1,41.0,1,< 1 Year,No,31428.0,152.0,88,0
282793,Male,30,1,31.0,1,< 1 Year,No,2630.0,152.0,14,0
4033007,Female,22,1,8.0,1,< 1 Year,No,42309.0,160.0,152,0
1864741,Male,21,1,15.0,1,< 1 Year,No,32354.0,160.0,219,0
7533757,Male,49,1,11.0,0,1-2 Year,Yes,27283.0,124.0,119,0
7318096,Female,70,1,7.0,1,1-2 Year,No,2630.0,124.0,204,0
3193031,Male,50,1,28.0,1,1-2 Year,No,43180.0,26.0,173,0
10088749,Female,25,1,30.0,1,< 1 Year,No,30277.0,152.0,254,0
11070739,Male,25,1,6.0,1,< 1 Year,No,29291.0,152.0,282,0
10020560,Female,22,1,46.0,1,< 1 Year,No,32349.0,152.0,180,0
9557672,Female,54,1,9.0,0,1-2 Year,No,2630.0,1.0,165,0
4921593,Female,73,1,28.0,0,1-2 Year,Yes,47241.0,26.0,268,0
10532430,Male,24,1,8.0,0,< 1 Year,Yes,32653.0,160.0,298,0
9819069,Male,54,1,19.0,1,1-2 Year,Yes,36284.0,124.0,261,0
4887433,Female,29,1,6.0,1,< 1 Year,No,43437.0,152.0,92,0
6592509,Female,58,1,46.0,1,1-2 Year,No,20270.0,26.0,249,0
4915740,Female,24,1,3.0,1,< 1 Year,No,23522.0,152.0,243,0
9755869,Male,23,1,18.0,1,< 1 Year,No,25894.0,152.0,144,0
1777503,Male,45,1,8.0,0,1-2 Year,Yes,33569.0,26.0,259,0
7573238,Female,21,1,46.0,1,< 1 Year,No,53970.0,160.0,262,0
8921118,Male,34,1,6.0,0,1-2 Year,Yes,2630.0,124.0,132,0
5392750,Male,47,1,28.0,0,1-2 Year,Yes,43972.0,124.0,284,0
2376565,Male,24,1,47.0,1,< 1 Year,No,24218.0,152.0,278,0
3374742,Male,47,1,25.0,0,1-2 Year,Yes,29933.0,30.0,292,0
5837339,Female,26,1,50.0,0,< 1 Year,Yes,2630.0,152.0,197,0
11075248,Male,74,1,41.0,1,1-2 Year,No,40502.0,26.0,288,0
7639415,Male,24,1,9.0,1,< 1 Year,Yes,27598.0,152.0,275,0
6049485,Male,23,1,46.0,1,< 1 Year,No,28866.0,160.0,75,0
458369,Male,27,1,41.0,1,< 1 Year,No,28590.0,152.0,99,0
6767317,Male,24,1,46.0,1,< 1 Year,No,40682.0,152.0,280,0
4088703,Male,51,1,28.0,0,1-2 Year,Yes,30255.0,3.0,129,0
2306453,Female,58,1,28.0,1,1-2 Year,No,59981.0,26.0,274,0
9531087,Male,51,1,18.0,0,1-2 Year,Yes,2630.0,124.0,193,0
2110832,Male,43,1,28.0,0,> 2 Years,Yes,33880.0,124.0,20,0
3993913,Male,22,1,30.0,1,< 1 Year,No,29961.0,152.0,37,0
4668136,Male,48,1,24.0,0,1-2 Year,Yes,28179.0,124.0,216,0
7629404,Male,51,1,28.0,0,1-2 Year,Yes,48950.0,124.0,198,0
6706375,Male,57,1,14.0,0,1-2 Year,Yes,25982.0,124.0,285,0
480208,Male,29,1,10.0,1,< 1 Year,No,33604.0,152.0,16,0
8253866,Female,60,1,28.0,0,1-2 Year,Yes,27121.0,26.0,61,0
9291625,Female,26,1,18.0,1,1-2 Year,No,2630.0,156.0,289,0
9632646,Male,23,1,16.0,0,< 1 Year,Yes,26108.0,152.0,292,0
4556862,Male,32,1,28.0,0,< 1 Year,Yes,25015.0,152.0,171,0
8758904,Female,20,1,30.0,1,< 1 Year,Yes,30618.0,160.0,263,0
9482452,Male,39,1,28.0,1,1-2 Year,No,28690.0,124.0,190,0
2464350,Male,52,1,33.0,0,1-2 Year,Yes,30187.0,26.0,194,0
808185,Male,33,1,28.0,0,1-2 Year,Yes,39008.0,125.0,167,0
6399042,Female,35,1,45.0,0,1-2 Year,Yes,35606.0,26.0,106,0
6881786,Male,29,1,33.0,0,< 1 Year,No,32266.0,152.0,265,0
4963484,Female,25,1,6.0,1,< 1 Year,No,25371.0,152.0,224,0
1440874,Male,43,1,28.0,0,1-2 Year,Yes,43014.0,26.0,272,0
3718044,Male,51,1,28.0,0,1-2 Year,Yes,35147.0,124.0,31,0
9955695,Male,24,1,28.0,1,< 1 Year,No,49576.0,152.0,185,0
1916705,Female,20,1,41.0,1,< 1 Year,No,44668.0,160.0,223,0
10863601,Male,23,1,32.0,1,< 1 Year,No,48738.0,152.0,184,0
10302454,Male,65,1,29.0,1,1-2 Year,No,38905.0,124.0,270,0
1615318,Male,59,1,28.0,1,1-2 Year,Yes,24602.0,26.0,128,0
10502803,Male,45,1,28.0,0,1-2 Year,No,35641.0,124.0,181,0
10007901,Female,23,1,4.0,1,< 1 Year,No,32338.0,152.0,17,0
2684320,Female,52,1,28.0,0,1-2 Year,Yes,45970.0,26.0,84,0
4751467,Female,22,1,5.0,0,< 1 Year,Yes,25115.0,152.0,131,0
7604208,Male,48,1,41.0,1,1-2 Year,No,35707.0,12.0,279,0
7234914,Female,25,1,6.0,1,< 1 Year,No,25184.0,152.0,208,0
9492874,Female,23,1,8.0,0,< 1 Year,Yes,30894.0,152.0,147,0
2370854,Male,24,1,11.0,1,< 1 Year,No,29220.0,152.0,91,0
10400,Male,50,1,28.0,0,1-2 Year,Yes,37692.0,26.0,269,0
8156401,Female,21,1,15.0,0,< 1 Year,Yes,37126.0,152.0,135,0
3147105,Female,47,1,11.0,1,1-2 Year,No,2630.0,26.0,144,0
563328,Male,20,1,46.0,0,< 1 Year,No,2630.0,160.0,167,0
1489924,Male,74,1,15.0,0,1-2 Year,Yes,40646.0,124.0,178,0
7702641,Male,27,1,50.0,1,< 1 Year,No,35269.0,152.0,40,0
696177,Female,22,1,46.0,1,< 1 Year,No,28931.0,152.0,253,0
5376898,Female,61,1,28.0,0,1-2 Year,Yes,32314.0,26.0,207,0
